j,"S_th(0,0)","S_exp(0,0)-M","S_exp(0,0)-SD","S_th(-10,10)","S_exp(-10,10)-M","S_exp(-10,10)-SD","S_th(15,-15)","S_exp(15,-15)-M","S_exp(15,-15)-SD",j_subfigure,"S_subfigure(0,0)","S_subfigure(-10,10)","S_subfigure(15,-15)"
1060001 ,0.52349 ,0.51325 ,0.02578 ,0.71084 ,0.66552 ,0.01530 ,0.99739 ,1.04931 ,0.01778 ,107,0.01792 ,0.18620 ,0.47364 
1070001 ,0.52349 ,0.61303 ,0.01175 ,0.71635 ,0.67797 ,0.00392 ,1.00290 ,1.03802 ,0.00545 ,108,0.00180 ,0.19227 ,0.48024 
1080001 ,0.52349 ,0.50973 ,0.01352 ,0.71635 ,0.68744 ,0.00702 ,1.00290 ,1.07926 ,0.03175 ,109,0.01139 ,0.18616 ,0.48379 
1090001 ,0.52900 ,0.51116 ,0.02056 ,0.71635 ,0.77474 ,0.01790 ,1.00290 ,1.07317 ,0.03264 ,110,0.00488 ,0.19223 ,0.47234 
1100001 ,0.52900 ,0.52129 ,0.01554 ,0.72186 ,0.66764 ,0.00366 ,1.00841 ,1.10710 ,0.01364 ,111,0.01518 ,0.18189 ,0.47877 
1110001 ,0.53451 ,0.59481 ,0.01193 ,0.72186 ,0.69310 ,0.00984 ,1.00841 ,1.08422 ,0.00892 ,112,0.00069 ,0.17958 ,0.48078 
1120001 ,0.53451 ,0.56804 ,0.01942 ,0.72737 ,0.73097 ,0.01400 ,1.01392 ,1.03890 ,0.01700 ,113,0.01221 ,0.18053 ,0.49056 
1130001 ,0.53451 ,0.53691 ,0.00363 ,0.72737 ,0.70667 ,0.00456 ,1.01392 ,1.08989 ,0.02186 ,114,0.02180 ,0.17657 ,0.49672 
1140001 ,0.53451 ,0.53598 ,0.01279 ,0.72737 ,0.71654 ,0.01492 ,1.01943 ,1.04270 ,0.01686 ,115,0.01556 ,0.18898 ,0.48067 
1150001 ,0.54002 ,0.52943 ,0.01101 ,0.73288 ,0.70660 ,0.01182 ,1.01943 ,1.08947 ,0.01638 ,116,0.01042 ,0.19026 ,0.48194 
1160001 ,0.54002 ,0.53785 ,0.01402 ,0.73288 ,0.69710 ,0.02224 ,1.02494 ,1.11653 ,0.01716 ,117,0.00920 ,0.18795 ,0.47246 
1170001 ,0.54002 ,0.51287 ,0.00861 ,0.73840 ,0.76501 ,0.02155 ,1.03045 ,1.10945 ,0.01013 ,118,0.01879 ,0.20337 ,0.47890 
1180001 ,0.54553 ,0.55399 ,0.00767 ,0.73840 ,0.76265 ,0.01089 ,1.03045 ,1.10998 ,0.01734 ,119,0.01793 ,0.20068 ,0.48090 
1190001 ,0.54553 ,0.62778 ,0.01444 ,0.73840 ,0.72106 ,0.01214 ,1.03045 ,1.09084 ,0.02137 ,120,0.02753 ,0.18388 ,0.49068 
1200001 ,0.55104 ,0.54816 ,0.01138 ,0.74391 ,0.78148 ,0.00376 ,1.03596 ,1.10235 ,0.01615 ,121,0.02128 ,0.18995 ,0.49685 
1210001 ,0.55104 ,0.54908 ,0.00608 ,0.74391 ,0.73442 ,0.00692 ,1.03596 ,1.11843 ,0.01962 ,122,0.00320 ,0.19747 ,0.47386 
1220001 ,0.55104 ,0.56586 ,0.01225 ,0.74391 ,0.76530 ,0.00547 ,1.04147 ,1.06873 ,0.01720 ,123,0.00527 ,0.19478 ,0.47797 
1230001 ,0.55104 ,0.55354 ,0.01352 ,0.74942 ,0.67996 ,0.01094 ,1.04147 ,1.04580 ,0.01767 ,124,0.00774 ,0.18851 ,0.48771 
1240001 ,0.55655 ,0.54245 ,0.01171 ,0.74942 ,0.76456 ,0.00642 ,1.04698 ,1.08186 ,0.01849 ,125,0.00893 ,0.19768 ,0.48074 
1250001 ,0.55655 ,0.53349 ,0.00728 ,0.74942 ,0.78965 ,0.02139 ,1.04698 ,1.11137 ,0.01795 ,126,0.01139 ,0.20737 ,0.47682 
1260001 ,0.55655 ,0.52544 ,0.01302 ,0.75493 ,0.74947 ,0.01794 ,1.04698 ,1.05911 ,0.03518 ,127,-0.00365 ,0.19324 ,0.48656 
1270001 ,0.56206 ,0.55601 ,0.01275 ,0.75493 ,0.69328 ,0.02799 ,1.05249 ,1.13373 ,0.00940 ,128,0.01521 ,0.19931 ,0.47959 
1280001 ,0.56206 ,0.58869 ,0.00367 ,0.76044 ,0.73767 ,0.02717 ,1.05249 ,1.12271 ,0.02743 ,129,0.01768 ,0.20272 ,0.49412 
1290001 ,0.56757 ,0.57828 ,0.01886 ,0.76044 ,0.73931 ,0.01994 ,1.05800 ,1.12047 ,0.00586 ,130,0.00263 ,0.21188 ,0.48671 
1300001 ,0.56757 ,0.56095 ,0.00526 ,0.76044 ,0.70963 ,0.01466 ,1.05800 ,1.19133 ,0.01095 ,131,0.01625 ,0.18596 ,0.48673 
1310001 ,0.56757 ,0.57452 ,0.01099 ,0.76595 ,0.83291 ,0.01482 ,1.06351 ,1.11854 ,0.01487 ,132,-0.00197 ,0.19639 ,0.49518 
1320001 ,0.56757 ,0.57720 ,0.00941 ,0.76595 ,0.77281 ,0.02480 ,1.06351 ,1.09588 ,0.01121 ,133,0.00034 ,0.19777 ,0.48381 
1330001 ,0.57308 ,0.62320 ,0.01397 ,0.76595 ,0.79372 ,0.01394 ,1.06902 ,1.14011 ,0.01646 ,134,0.00531 ,0.17625 ,0.49785 
